Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
Texas Tech (Big 12),0,8,72.4,404,1.09,4.2,44.7,758,1777,42.7,732,74.6,573,1059,34.2,1045,33.7,0.5,69.8,2.5,517,34.4,674,237,35.2,396,371,0.8,61.3,320,10.32,739,23.84
Oregon St. (Pac-12),0,7,72.1,418,1.18,3.4,44.1,739,1732,42.7,672,67.1,624,1073,34.6,1141,36.8,-2.2,70,2.1,570,37,675,222,32.9,420,355,2.1,61.3,330,10.65,743,23.97
Texas (Big 12),0,6,71.3,367,1.11,4.4,43.2,754,1801,41.9,725,66.5,664,1105,34.5,1151,36,-1.4,68.1,3.3,658,33.9,586,201,34.3,400,332,2.1,62.5,352,11,753,23.53
Little Rock (Sun Belt),1,12,70.9,433,1.25,3.2,45.8,664,1710,38.8,572,73.4,601,1117,33.8,1113,33.7,0.1,59.6,11.3,641,38.8,672,206,30.7,464,347,3.5,87.9,302,9.15,815,24.7
Virginia (ACC),3,1,70.4,473,1.53,2.9,48.7,687,1630,42.1,565,75.4,540,1052,31.9,935,28.3,3.5,59.7,10.7,489,40.5,608,212,34.9,398,310,2.7,78.8,296,8.97,756,22.91
Syracuse (ACC),4,10,70.2,450,1.16,4.1,42.7,759,1835,41.4,637,68.3,530,1137,35.5,1182,36.9,-1.4,65.7,4.5,776,36.1,739,225,30.4,434,388,1.4,59.4,378,11.81,759,23.72
Wisconsin (Big Ten),2,7,68.9,371,1.06,3.2,43,732,1705,42.9,694,70.7,542,1117,34.9,1017,31.8,3.1,64.6,4.3,590,35.8,499,189,37.9,389,351,1.2,62.5,366,11.44,751,23.47
Temple (AAC),0,10,68.7,433,1.48,3.1,40.5,785,1884,41.7,529,68.4,516,1176,36.8,1224,38.3,-1.5,67.4,1.2,739,34,601,189,31.4,355,293,1.9,65.6,358,11.19,818,25.56
Holy Cross (Patriot),0,16,65.3,459,1.27,2.5,41.3,803,1755,45.8,644,69.3,555,994,30.1,1177,35.7,-5.5,69.7,-4.3,721,32.7,724,264,36.5,434,362,2.2,42.4,269,8.15,725,21.97
UCLA (Pac-12),2,3,90.4,709,1.86,5.4,51.9,912,2179,41.9,576,74.5,543,1294,39.2,1155,35,4.2,75.3,15,807,40.5,784,284,36.2,399,381,0.5,87.9,322,9.76,972,29.45
Kentucky (SEC),3,2,85.9,528,1.29,5.3,47.7,873,2061,42.4,899,70.1,656,1366,40.2,1181,34.7,5.4,71.6,14.4,679,35.3,674,207,30.7,496,409,2.6,85.3,428,12.59,938,27.59
Oklahoma St. (Big 12),0,10,85.5,469,1.11,3,46.4,846,1800,47,770,78.7,709,1175,36.7,1063,33.2,3.5,78,7.5,716,40.1,612,219,35.8,489,422,2.1,62.5,438,13.69,737,23.03
UNCW (CAA),0,12,85.2,550,1.55,3.4,48.2,912,1912,47.7,691,69.2,679,1221,35.9,1151,33.9,2.1,74.9,10.2,891,36.6,551,185,33.6,498,354,4.2,85.3,408,12,813,23.91
